id,created_at,updated_at,category,content-type,display_name,filename,folder_id,hidden,hidden_for_user,lock_at,lock_explanation,lock_info,locked,locked_for_user,media_entry_id,mime_class,modified_at,size,thumbnail_url,unlock_at,upload_status,url,uuid,visibility_level
10500000172281794,2025-01-05T07:56:08Z,2025-01-05T07:56:08Z,uncategorized,image/jpeg,FahrenheitToCelsiusTemperatureConverterFinal.jpg,FahrenheitToCelsiusTemperatureConverterFinal.jpg,10500000021020121,False,False,,,,False,False,,image,2019-09-25T20:59:20Z,18996,https://canvas.instructure.com/images/thumbnails/1050~172281794/H219qpkgPjpg0tB2UaL3YADYH5hgtsBGs8nP4nfP,,success,https://canvas.instructure.com/files/1050~172281794/download?download_frd=1&verifier=H219qpkgPjpg0tB2UaL3YADYH5hgtsBGs8nP4nfP,H219qpkgPjpg0tB2UaL3YADYH5hgtsBGs8nP4nfP,inherit
10500000172281747,2025-01-05T07:56:03Z,2025-01-05T07:56:03Z,uncategorized,image/jpeg,FahrenheitToCelsiusTemperatureConverterInitial.jpg,FahrenheitToCelsiusTemperatureConverterInitial.jpg,10500000021020121,False,False,,,,False,False,,image,2019-09-25T20:46:38Z,19050,https://canvas.instructure.com/images/thumbnails/1050~172281747/MVt3CHDtCfB7SIK9H3s78cyyni8qQRSlkDNKkHXf,,success,https://canvas.instructure.com/files/1050~172281747/download?download_frd=1&verifier=MVt3CHDtCfB7SIK9H3s78cyyni8qQRSlkDNKkHXf,MVt3CHDtCfB7SIK9H3s78cyyni8qQRSlkDNKkHXf,inherit
10500000172281813,2025-01-05T07:56:10Z,2025-01-05T07:56:10Z,uncategorized,unknown/unknown,fd72dd9dc7bc33edd34b6f6b9343db92.key,fd72dd9dc7bc33edd34b6f6b9343db92.key,10500000021368038,False,False,,,,False,False,,file,2016-11-23T18:57:35Z,2598,,,success,https://canvas.instructure.com/files/1050~172281813/download?download_frd=1&verifier=wz1mSD0i74hd86vDNJzeW8cJ3axhZXpvQdIV3Wdw,wz1mSD0i74hd86vDNJzeW8cJ3axhZXpvQdIV3Wdw,inherit
10500000172281758,2025-01-05T07:56:04Z,2025-01-05T07:56:04Z,uncategorized,image/png,Fig15_31-Assignment 5.png,Fig15_31-Assignment+5.png,10500000021368028,False,False,,,,False,False,,image,2016-11-23T18:58:07Z,52125,https://canvas.instructure.com/images/thumbnails/1050~172281758/hwqskfo5oah0vPGGzdxXOoLX14kcB4vqANxCMs1c,,success,https://canvas.instructure.com/files/1050~172281758/download?download_frd=1&verifier=hwqskfo5oah0vPGGzdxXOoLX14kcB4vqANxCMs1c,hwqskfo5oah0vPGGzdxXOoLX14kcB4vqANxCMs1c,inherit
10500000172281916,2025-01-05T07:56:18Z,2025-03-27T02:18:32Z,uncategorized,application/vnd.openxmlformats-officedocument.wordprocessingml.document,FinalProject_New Assignment.docx,FinalProject_Updated.docx,10500000021368022,False,False,,,,False,False,,doc,2017-12-14T00:16:03Z,16806,,,success,https://canvas.instructure.com/files/1050~172281916/download?download_frd=1&verifier=DwTZ1HOFUlwKSEmg8bbSsGwmCCrWmmXUXC4aANmH,DwTZ1HOFUlwKSEmg8bbSsGwmCCrWmmXUXC4aANmH,inherit
10500000172281872,2025-01-05T07:56:15Z,2025-04-07T18:29:21Z,uncategorized,application/pdf,FlightSchedulerFinalProject.pdf,FlightSchedulerFinalProject.pdf,10500000021368063,False,False,,,,False,False,,pdf,2017-07-21T20:12:15Z,167233,,,success,https://canvas.instructure.com/files/1050~172281872/download?download_frd=1&verifier=smTS9NUtsLpqctgVrSyhSNWOf9eF8e4CrySxHPjO,smTS9NUtsLpqctgVrSyhSNWOf9eF8e4CrySxHPjO,inherit
10500000172281898,2025-01-05T07:56:17Z,2025-01-05T07:56:17Z,uncategorized,application/x-zip-compressed,FunctionalProgrammingAssignment.zip,FunctionalProgrammingAssignment.zip,10500000021020121,False,False,,This file is part of an unpublished module and is not available yet.,"{""asset_string"": ""attachment_10500000172281898"", ""context_module"": {""id"": 5535436, ""name"": ""Sample Programming Assignments Solutions"", ""context_type"": ""Course"", ""context_id"": 2379441, ""workflow_state"": ""unpublished"", ""unlock_at"": null}}",False,True,,zip,2023-10-26T00:19:41Z,25597,,,success,,TYvi6tFCdER8hFpvkb1oozHagWC7eko68dq3E93V,inherit
10500000172281874,2025-01-05T07:56:15Z,2025-01-05T07:56:15Z,uncategorized,application/x-zip-compressed,FunctionalProgrammingTemplate.zip,FunctionalProgrammingTemplate.zip,10500000021020121,False,False,,,,False,False,,zip,2023-09-28T21:14:00Z,22896,,,success,https://canvas.instructure.com/files/1050~172281874/download?download_frd=1&verifier=LLw3OnyDBESi6RzIjW5YbiECGBwOJikd8bpWwzWK,LLw3OnyDBESi6RzIjW5YbiECGBwOJikd8bpWwzWK,inherit
10500000172281754,2025-01-05T07:56:04Z,2025-03-27T02:19:02Z,uncategorized,application/pdf,Help Document PA6.pdf,Help+Document+PA6.pdf,10500000021368022,False,False,,,,False,False,,pdf,2019-07-30T17:47:47Z,879487,,,success,https://canvas.instructure.com/files/1050~172281754/download?download_frd=1&verifier=UpQDrYKr3kQzrgTzxXZDZFZfXm490gYTe1B0xKu5,UpQDrYKr3kQzrgTzxXZDZFZfXm490gYTe1B0xKu5,inherit
10500000172281840,2025-01-05T07:56:12Z,2025-01-05T07:56:12Z,uncategorized,application/x-zip-compressed,image_capture.zip,image_capture.zip,10500000021020121,False,False,,,,False,False,,zip,2020-04-28T00:00:18Z,7307531,,,success,https://canvas.instructure.com/files/1050~172281840/download?download_frd=1&verifier=DvYeAs0AD4TcplLVokDwIqt09vjvLVI64LathTnH,DvYeAs0AD4TcplLVokDwIqt09vjvLVI64LathTnH,inherit
10500000172281824,2025-01-05T07:56:11Z,2025-01-05T07:56:11Z,uncategorized,image/jpeg,imagesec1.JPG,imagesec1.JPG,10500000021368041,False,False,,,,False,False,,image,2020-01-02T13:47:00Z,12892,https://canvas.instructure.com/images/thumbnails/1050~172281824/eWdRkFvoRnW1yuE3nS5o5q2AODKLNkCx1KGwEhcg,,success,https://canvas.instructure.com/files/1050~172281824/download?download_frd=1&verifier=eWdRkFvoRnW1yuE3nS5o5q2AODKLNkCx1KGwEhcg,eWdRkFvoRnW1yuE3nS5o5q2AODKLNkCx1KGwEhcg,inherit
10500000172281787,2025-01-05T07:56:07Z,2025-01-05T07:56:08Z,uncategorized,image/jpeg,imagesec2.JPG,imagesec2.JPG,10500000021368041,False,False,,,,False,False,,image,2020-01-10T21:12:16Z,12698,https://canvas.instructure.com/images/thumbnails/1050~172281787/z7f0CQzcVjDIaDEhNGnfnTZeKaHD4DxCvbKYeF4l,,success,https://canvas.instructure.com/files/1050~172281787/download?download_frd=1&verifier=z7f0CQzcVjDIaDEhNGnfnTZeKaHD4DxCvbKYeF4l,z7f0CQzcVjDIaDEhNGnfnTZeKaHD4DxCvbKYeF4l,inherit
10500000172281749,2025-01-05T07:56:03Z,2025-02-17T22:21:45Z,uncategorized,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,instructorsandprojectsFall2020.xlsx,instructorsandprojectsFall2020.xlsx,10500000021020121,False,False,,,,False,False,,xls,2020-08-28T00:50:06Z,14713,,,success,https://canvas.instructure.com/files/1050~172281749/download?download_frd=1&verifier=rgM88PFNnxtL46zQz2eGdzRrnJ6qKQPn0xLeNwSk,rgM88PFNnxtL46zQz2eGdzRrnJ6qKQPn0xLeNwSk,inherit
10500000172281858,2025-01-05T07:56:14Z,2025-01-05T07:56:14Z,uncategorized,application/x-zip-compressed,Java2dDrawingApplication.zip,Java2dDrawingApplication.zip,10500000021020121,False,False,,This file is part of an unpublished module and is not available yet.,"{""asset_string"": ""attachment_10500000172281858"", ""context_module"": {""id"": 5535436, ""name"": ""Sample Programming Assignments Solutions"", ""context_type"": ""Course"", ""context_id"": 2379441, ""workflow_state"": ""unpublished"", ""unlock_at"": null}}",False,True,,zip,2021-10-19T00:10:26Z,41342,,,success,,9eX0znJCKtuXRYhEomWYbnc7C75cyVyKSnydgQpB,inherit
10500000172281860,2025-01-05T07:56:14Z,2025-01-05T07:56:14Z,uncategorized,application/zip,Java2DDrawingApplicationTemplate.zip,Java2DDrawingApplicationTemplate.zip,10500000021020121,False,False,,,,False,False,,zip,2020-02-25T02:34:09Z,29279,,,success,https://canvas.instructure.com/files/1050~172281860/download?download_frd=1&verifier=IA3kZTWA2rJmYO2ZBR1Fa6eca7hsTo4eZ8mjDLcG,IA3kZTWA2rJmYO2ZBR1Fa6eca7hsTo4eZ8mjDLcG,inherit
10500000172281773,2025-01-05T07:56:06Z,2025-05-01T14:45:44Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch01.ppt,jhtp10_ch01.ppt,10500000021368037,False,False,,,,False,False,,ppt,2016-11-23T18:57:59Z,11045888,,,success,https://canvas.instructure.com/files/1050~172281773/download?download_frd=1&verifier=g05vhdB3XMvFrx56N3a3XzNkj3VMPdob5M2hTpfi,g05vhdB3XMvFrx56N3a3XzNkj3VMPdob5M2hTpfi,inherit
10500000172281757,2025-01-05T07:56:04Z,2025-01-05T07:56:04Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch02.ppt,jhtp10_ch02.ppt,10500000021368027,False,False,,,,False,False,,ppt,2016-11-23T18:57:51Z,10560512,,,success,https://canvas.instructure.com/files/1050~172281757/download?download_frd=1&verifier=NDGk5aVI1yVwvAp5UBZ81aXSwEvsCRLrmnhGiYoA,NDGk5aVI1yVwvAp5UBZ81aXSwEvsCRLrmnhGiYoA,inherit
10500000172281843,2025-01-05T07:56:13Z,2025-01-05T07:56:13Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch03.ppt,jhtp10_ch03.ppt,10500000021368057,False,False,,,,False,False,,ppt,2016-11-23T18:57:56Z,6000128,,,success,https://canvas.instructure.com/files/1050~172281843/download?download_frd=1&verifier=dt0zqk5RbCBqgz42XCQbbNGz16FHZ1FEry7XwPk1,dt0zqk5RbCBqgz42XCQbbNGz16FHZ1FEry7XwPk1,inherit
10500000172281770,2025-01-05T07:56:05Z,2025-01-05T07:56:05Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch04.ppt,jhtp10_ch04.ppt,10500000021368034,False,False,,,,False,False,,ppt,2016-11-23T18:57:55Z,14126080,,,success,https://canvas.instructure.com/files/1050~172281770/download?download_frd=1&verifier=KOts85VaZQewrObR3aiVDdFp5DK7mlqA9v4aDla6,KOts85VaZQewrObR3aiVDdFp5DK7mlqA9v4aDla6,inherit
10500000172281743,2025-01-05T07:56:02Z,2025-02-27T14:19:06Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch05.ppt,jhtp10_ch05.ppt,10500000021368021,False,False,,,,False,False,,ppt,2016-11-23T18:57:50Z,13071872,,,success,https://canvas.instructure.com/files/1050~172281743/download?download_frd=1&verifier=46SVRyQ6ZGSZKkKLmJLETdj8k7g4rcpVFDi7KLPE,46SVRyQ6ZGSZKkKLmJLETdj8k7g4rcpVFDi7KLPE,inherit
10500000172281801,2025-01-05T07:56:09Z,2025-01-05T07:56:09Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch06.ppt,jhtp10_ch06.ppt,10500000021368046,False,False,,,,False,False,,ppt,2016-11-23T18:57:33Z,11534848,,,success,https://canvas.instructure.com/files/1050~172281801/download?download_frd=1&verifier=uvAlh8g0OkNuIDwKYue1JB1odNWBoG6UQMh4N9k5,uvAlh8g0OkNuIDwKYue1JB1odNWBoG6UQMh4N9k5,inherit
10500000172281763,2025-01-05T07:56:05Z,2025-01-05T07:56:05Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch07.ppt,jhtp10_ch07.ppt,10500000021368030,False,False,,,,False,False,,ppt,2016-11-23T18:57:43Z,17490432,,,success,https://canvas.instructure.com/files/1050~172281763/download?download_frd=1&verifier=YvgOLDwnI10OdqFQvkxnz79YrKtNoIsmBb4goTfO,YvgOLDwnI10OdqFQvkxnz79YrKtNoIsmBb4goTfO,inherit
10500000172281778,2025-01-05T07:56:07Z,2025-01-05T07:56:07Z,uncategorized,application/vnd.ms-powerpoint,jhtp10_ch08.ppt,jhtp10_ch08.ppt,10500000021368039,False,False,,,,False,False,,ppt,2016-11-23T18:58:13Z,15014912,,,success,https://canvas.instructure.com/files/1050~172281778/download?download_frd=1&verifier=NXhAtck47m91EzAsXFLMGAxWtsvJUwu9YVFhP6D7,NXhAtck47m91EzAsXFLMGAxWtsvJUwu9YVFhP6D7,inherit
